num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
75,-78.6961663,35.7275265,25.001,0.00011409465514589101,-2.6108310222625732,0.0017198927234858274,-0.01,0.0,0.0,12.587,2025-05-31 23:22:26.795537,6,10
76,-78.6961663,35.7275263,25.001,-0.001841394929215312,-1.392701506614685,0.001796721713617444,0.0,0.0,0.0,12.587,2025-05-31 23:22:27.796266,6,10
77,-78.6961663,35.7275263,25.001,-0.0023621702566742897,-0.7315224409103394,7.627804734511301e-05,0.0,-0.01,0.0,12.587,2025-05-31 23:22:28.796662,6,10
78,-78.6961663,35.7275263,25.001,-0.00076377420919016,0.21784022450447083,-0.0006487059872597456,0.0,-0.01,0.0,12.587,2025-05-31 23:22:29.797208,6,10
79,-78.6961663,35.7275263,25.001,-0.00037793166120536625,0.5236045122146606,1.950298792507965e-05,0.0,-0.01,0.0,12.587,2025-05-31 23:22:30.799132,6,10
80,-78.6961663,35.7275263,25.001,-0.0005534769152291119,-0.02208356373012066,-0.0001273193774977699,0.0,-0.01,0.0,12.587,2025-05-31 23:22:31.800781,6,10
81,-78.6961663,35.7275263,25.001,-0.00048736430471763015,0.17417998611927032,0.00020617363043129444,0.0,-0.01,0.0,12.587,2025-05-31 23:22:32.801768,6,10
82,-78.6961664,35.7275265,25.001,0.00047297379933297634,0.24737614393234253,0.0021709466818720102,0.0,0.0,0.0,12.587,2025-05-31 23:22:33.803601,6,10
83,-78.6961665,35.7275266,25.001,0.0022257769014686346,0.10028594732284546,0.002279644599184394,-0.01,0.0,0.0,12.587,2025-05-31 23:22:34.804586,6,10
84,-78.6961666,35.7275267,25.001,0.0026165314484387636,-0.11209744215011597,0.0016749247442930937,-0.02,0.01,0.0,12.587,2025-05-31 23:22:35.805988,6,10
85,-78.6961666,35.7275267,25.001,-0.08981988579034805,-1.0043251514434814,0.04687095060944557,0.05,-0.03,0.0,12.587,2025-05-31 23:22:36.806227,6,10
86,-78.6961734,35.727536,25.001,-0.3200155198574066,-0.6464443802833557,0.03934124484658241,2.11,-1.22,0.0,12.587,2025-05-31 23:22:37.807738,6,10
87,-78.6961938,35.7275638,25.002,-0.425924688577652,-0.4848212003707886,-0.006851181387901306,4.17,-2.42,0.0,12.587,2025-05-31 23:22:38.808929,6,10
88,-78.6962275,35.7276108,24.992,-0.533447265625,-0.7665369510650635,0.11783633381128311,6.33,-3.57,0.0,12.587,2025-05-31 23:22:39.810035,6,10
89,-78.6962742,35.727677,24.982,-0.5529454350471497,-0.581211268901825,0.015229104086756706,8.08,-4.62,-0.03,12.587,2025-05-31 23:22:40.811080,6,10
90,-78.6963283,35.7277527,24.983,-0.5424981713294983,-0.6448554396629333,0.04820890352129936,8.57,-4.94,-0.01,12.587,2025-05-31 23:22:41.811665,6,10
91,-78.6963844,35.7278318,24.982,-0.5400028228759766,-0.6612241268157959,0.04187387600541115,8.81,-5.06,-0.01,12.587,2025-05-31 23:22:42.811951,6,10
92,-78.6964414,35.7279114,24.99,-0.5366841554641724,-0.6166444420814514,0.024934710934758186,8.82,-5.15,-0.01,12.587,2025-05-31 23:22:43.812899,6,10
