time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-05-31 23:25:11.801842,5.832832,4.486172,-3.466455,-99
2025-05-31 23:25:12.838421,5.557404,2.990318,-1.181406,-99
2025-05-31 23:25:13.834699,5.370354,3.275555,-2.795717,-99
2025-05-31 23:25:14.863954,6.01384,3.280895,-1.784002,-99
2025-05-31 23:25:15.872922,5.622623,3.582188,-1.335869,-99
2025-05-31 23:25:16.895924,6.21619,1.513937,-1.397503,-99
2025-05-31 23:25:17.927451,4.201096,1.249454,-1.705877,-99
2025-05-31 23:25:18.927179,6.428745,2.687778,-2.241882,-99
2025-05-31 23:25:19.940816,5.17564,2.537315,0.996136,-99
2025-05-31 23:25:20.960626,-1.065783,-1.833185,-0.755308,-99
2025-05-31 23:25:21.960349,6.104641,1.521542,-1.37361,-99
2025-05-31 23:25:22.978832,7.377621,2.098431,-1.235685,-99
2025-05-31 23:25:23.999991,-26.544315,1.621855,-0.593029,-99
2025-05-31 23:25:25.016174,6.07151,1.952894,0.588993,-99
2025-05-31 23:25:26.019866,7.243698,0.361048,-0.709221,-99
2025-05-31 23:25:27.048412,7.871517,1.026197,-1.215965,-99
2025-05-31 23:25:28.050397,6.190239,1.159302,-0.664837,-99
2025-05-31 23:25:29.061824,7.251663,-0.245651,1.012037,-99
2025-05-31 23:25:30.071573,6.528671,-0.134838,1.596104,-99
2025-05-31 23:25:31.091220,6.676052,-1.272928,-0.186008,-99
2025-05-31 23:25:32.092804,8.079361,-2.458242,1.561005,-99
2025-05-31 23:25:33.114534,6.696301,0.117411,-0.209538,-99
2025-05-31 23:25:34.146499,6.772575,0.212616,0.614016,-99
2025-05-31 23:25:35.145790,6.517612,-0.204414,1.790783,-99
2025-05-31 23:25:36.168344,5.763454,-0.950592,1.390999,-99
2025-05-31 23:25:37.186995,6.127525,-2.36455,1.134729,-99
2025-05-31 23:25:38.175606,7.603458,-0.782955,2.851147,-99
2025-05-31 23:25:39.202322,4.331249,-1.305489,1.824347,-99
2025-05-31 23:25:40.211644,-1.359989,-0.813643,3.44735,-99
2025-05-31 23:25:41.234096,7.963486,-2.10047,3.625523,-99
2025-05-31 23:25:42.255600,4.945747,-1.88829,3.218422,-99
2025-05-31 23:25:43.276169,4.558556,-2.258923,4.337303,-99
2025-05-31 23:25:44.272926,4.100361,-2.947033,2.703732,-99
2025-05-31 23:25:45.288334,5.73534,-2.601713,4.27047,-99
2025-05-31 23:25:46.313322,4.822681,-1.670475,3.354107,-99
2025-05-31 23:25:47.315267,3.044506,-2.014757,3.841034,-99
2025-05-31 23:25:48.331467,5.063366,-4.29875,1.345192,-99
2025-05-31 23:25:49.344514,3.80735,-3.407167,3.012718,-99
2025-05-31 23:25:50.360395,3.603298,-4.292593,-1.068657,-99
2025-05-31 23:25:51.362604,3.599136,-3.245661,4.542984,-99
2025-05-31 23:25:52.367682,3.73531,-2.702663,5.744827,-99
2025-05-31 23:25:53.400301,3.764874,-4.191841,5.565876,-99
2025-05-31 23:25:54.418203,3.458878,-7.371798,5.208286,-99
2025-05-31 23:25:55.434990,2.522747,-2.97294,6.541004,-99
2025-05-31 23:25:56.453447,1.451817,-3.942516,2.423565,-99
2025-05-31 23:25:57.459675,1.756012,-4.853827,4.797462,-99
2025-05-31 23:25:58.475919,2.085262,-3.264242,7.038803,-99
2025-05-31 23:25:59.492517,3.656986,-4.551609,6.398438,-99
2025-05-31 23:26:00.520123,2.526253,-4.209784,5.784302,-99
2025-05-31 23:26:01.514669,1.717793,-4.354391,6.985382,-99
2025-05-31 23:26:02.532038,0.821514,-3.756046,6.912144,-99
2025-05-31 23:26:03.543158,3.212498,-4.928015,7.9324,-99
2025-05-31 23:26:04.574935,-0.905512,-14.873867,8.355675,-99
2025-05-31 23:26:05.561325,1.609341,-4.275055,9.670387,-99
2025-05-31 23:26:06.585173,0.028969,-5.479492,7.414993,-99
2025-05-31 23:26:07.601504,1.688782,-4.533478,9.150177,-99
2025-05-31 23:26:08.628594,-0.775555,-4.056007,8.946598,-99
2025-05-31 23:26:09.633977,1.21693,-4.230385,8.787296,-99
2025-05-31 23:26:10.655777,1.148972,-5.557508,9.479984,-99
2025-05-31 23:26:11.676760,1.427404,-6.654846,9.683884,-99
2025-05-31 23:26:12.679237,1.115442,-5.143288,8.398781,-99
2025-05-31 23:26:13.709766,-0.290821,-5.223333,10.197742,-99
2025-05-31 23:26:14.716895,0.210733,-5.229679,10.602917,-99
2025-05-31 23:26:15.731006,0.232038,-4.136322,10.071651,-99
2025-05-31 23:26:16.739041,0.014124,-7.493465,8.069748,-99
2025-05-31 23:26:17.741270,0.99848,-3.969393,8.69088,-99
2025-05-31 23:26:18.779370,1.558914,-3.331522,9.868969,-99
2025-05-31 23:26:19.769631,0.435688,-6.649626,8.008526,-99
2025-05-31 23:26:20.781323,0.838062,-5.776535,7.921383,-99
2025-05-31 23:26:21.802176,-0.436504,-7.226061,8.806053,-99
2025-05-31 23:26:22.828330,1.749067,-5.163622,8.177612,-99
2025-05-31 23:26:23.830789,0.652365,-5.030699,8.305988,-99
2025-05-31 23:26:24.843046,-0.563444,-5.070505,9.822765,-99
2025-05-31 23:26:25.849252,-0.279909,-4.316837,8.504311,-99
2025-05-31 23:26:26.860798,-0.26779,-3.702982,8.73502,-99
2025-05-31 23:26:27.872172,-0.34321,-5.006701,9.401592,-99
2025-05-31 23:26:28.894520,0.443438,-2.525667,7.63055,-99
2025-05-31 23:26:29.895703,-0.048647,-5.729927,8.203953,-99
2025-05-31 23:26:30.905230,0.123629,-3.773998,8.937645,-99
2025-05-31 23:26:31.921234,-0.344402,-4.267313,8.07737,-99
2025-05-31 23:26:34.763042,1.238932,-4.267313,8.07737,-99
2025-05-31 23:26:35.801756,1.238932,-4.772449,8.804279,-99
2025-05-31 23:26:36.813388,0.202074,-5.132187,7.473324,-99
2025-05-31 23:26:37.824552,0.382278,-4.710907,7.580986,-99
2025-05-31 23:26:38.836088,0.16304,-3.780842,9.744244,-99
2025-05-31 23:26:39.844109,1.212009,-5.53381,7.204075,-99
2025-05-31 23:26:40.866406,-0.604599,-5.417419,8.631771,-99
2025-05-31 23:26:45.585879,2.113724,-5.417419,8.631771,-99
2025-05-31 23:27:05.338959,2.113724,-5.378553,8.631771,-99
2025-05-31 23:27:06.380513,2.113724,-5.378553,3.629391,-99
2025-05-31 23:27:21.111065,6.665192,-1.226513,2.040176,-99
2025-05-31 23:27:47.880719,17.574306,0.230867,2.040176,-99
2025-05-31 23:27:48.100478,17.574306,0.230867,0.3342,-99
2025-05-31 23:27:49.109005,20.694965,1.913519,-0.633749,-99
2025-05-31 23:27:50.117613,18.633862,-0.539761,1.329422,-99
2025-05-31 23:27:51.113559,20.543106,0.30722,0.825098,-99
2025-05-31 23:27:52.119588,20.507172,-0.333555,0.998821,-99
2025-05-31 23:27:53.131180,19.898571,1.035597,1.487597,-99
2025-05-31 23:27:54.115654,20.178169,1.40328,0.223667,-99
2025-05-31 23:27:55.117154,18.854561,0.549889,-0.435844,-99
2025-05-31 23:27:56.123422,20.964581,0.671795,-0.743097,-99
2025-05-31 23:27:57.126315,18.651176,0.729385,-0.646873,-99
2025-05-31 23:27:58.115252,19.899944,1.680573,0.935204,-99
2025-05-31 23:27:59.127954,22.677982,1.376345,0.320837,-99
